Harga,Merk & Model,Tahun,Tipe / Varian,Jenis Transmisi,Warna,Jarak Tempuh,STNK,BPKB,Buku Servis
Rp 25.200.000,"Honda, ADV150",2019,CBS,Matic,Hitam,101.627 KM,Tersedia,Tersedia,Tersedia
Rp 21.800.000,"Honda, Vario125",2023,CBS,Matic,Hitam,11.000 KM,Tersedia,Tersedia,Tidak Tersedia
Rp 16.200.000,"Honda, SupraGTR150",2023,,Cub,Hitam,97.172 KM,Tersedia,Tersedia,Tersedia
Rp 14.300.000,"Honda, BeATStreet",2023,,Matic,Hitam,38.327 KM,Tersedia,Tersedia,Tersedia
Rp 26.900.000,"Honda, PCX160",2021,ABS,Matic,Merah,21.000 KM,Tersedia,Tersedia,Tidak Tersedia
Rp 21.100.000,"Honda, PCX150",2018,CBS,Matic,Hitam,10.000 KM,Tersedia,Tersedia,Tersedia
Rp 21.100.000,"Honda, PCX150",2018,CBS,Matic,Hitam,10.000 KM,Tersedia,Tersedia,Tersedia
Rp 15.000.000,"Honda, Scoopy",2021,Prestige/Stylish,Matic,Hitam,10.000 KM,Tersedia,Tersedia,Tidak Tersedia
Rp 20.000.000,"Honda, Vario125",2023,CBS ISS,Matic,Putih,5.000 KM,Tersedia,Tersedia,Tidak Tersedia
Rp 16.000.000,"Honda, BeAT",2024,Deluxe,Matic,Hitam,5.000 KM,Tersedia,Tersedia,Tidak Tersedia
Rp 29.000.000,"Honda, ADV160",2024,CBS,Matic,Hitam,9.000 KM,Tersedia,Tersedia,Tidak Tersedia
Rp 11.200.000,"Honda, Genio",2020,CBS,Matic,Hitam,10.000 KM,Tersedia,Tersedia,Tidak Tersedia
Rp 19.500.000,"Honda, Vario125",2023,CBS ISS,Matic,Biru,23.000 KM,Tersedia,Tersedia,Tidak Tersedia
Rp 14.600.000,"Honda, Genio",2023,CBS ISS,Matic,Hitam,288.388 KM,Tersedia,Tersedia,Tersedia
Rp 17.900.000,"Honda, Scoopy",2023,Prestige/Stylish,Matic,Hijau,5.286 KM,Tersedia,Tersedia,Tersedia
Rp 15.900.000,"Honda, Vario125",2019,CBS ISS,Matic,Hitam,10.000 KM,Tersedia,Tersedia,Tersedia
Rp 20.000.000,"Honda, Vario125",2023,CBS ISS,Matic,Putih,5.000 KM,Tersedia,Tersedia,Tidak Tersedia
Rp 13.500.000,"Honda, BeATStreet",2023,,Matic,Hitam,5.000 KM,Tersedia,Tersedia,Tidak Tersedia
Rp 17.500.000,"Honda, Scoopy",2024,Fashion/Sporty,Matic,Putih,15.000 KM,Tersedia,Tersedia,Tidak Tersedia
Rp 22.800.000,"Honda, Vario160",2023,CBS,Matic,Merah,6.000 KM,Tersedia,Tersedia,Tersedia
Rp 15.800.000,"Honda, Vario125",2019,CBS ISS,Matic,Hitam,32.902 KM,Tersedia,Tersedia,Tersedia
Rp 28.000.000,"Honda, ADV160",2024,CBS,Matic,Putih,10.000 KM,Tersedia,Tersedia,Tidak Tersedia
Rp 29.000.000,"Honda, ADV160",2024,CBS,Matic,Hitam,9.000 KM,Tersedia,Tersedia,Tidak Tersedia
Rp 26.000.000,"Honda, ADV160",2024,ABS,Matic,Hitam,5.000 KM,Tersedia,Tersedia,Tidak Tersedia
Rp 28.800.000,"Honda, ADV160",2024,CBS,Matic,Hitam,10.000 KM,Tersedia,Tersedia,Tersedia
Rp 28.800.000,"Honda, ADV160",2024,CBS,Matic,Hitam,10.000 KM,Tersedia,Tersedia,Tersedia
Rp 24.000.000,"Honda, CBR150R",2024,,Sports,Merah,5.000 KM,Tersedia,Tersedia,Tidak Tersedia
Rp 11.500.000,"Honda, RevoFIT",2024,,Cub,Hitam,5.000 KM,Tersedia,Tersedia,Tidak Tersedia
Rp 18.900.000,"Honda, Scoopy",2023,Prestige/Stylish,Matic,Hijau,10.000 KM,Tersedia,Tersedia,Tidak Tersedia
Rp 18.900.000,"Honda, Scoopy",2023,Prestige/Stylish,Matic,Hijau,10.000 KM,Tersedia,Tersedia,Tidak Tersedia
Rp 21.800.000,"Honda, Vario125",2023,CBS ISS,Matic,Hitam,11.000 KM,Tersedia,Tersedia,Tidak Tersedia
Rp 21.800.000,"Honda, Vario125",2023,CBS ISS,Matic,Hitam,11.000 KM,Tersedia,Tersedia,Tidak Tersedia
Rp 14.500.000,"Honda, Genio",2024,CBS ISS,Matic,Hitam,5.000 KM,Tersedia,Tersedia,Tidak Tersedia
